comparison_type,root,prompt_set_id,model_name,length_words,temperature_a,temperature_b,n_paired,mean_diff,median_diff,ci_low,ci_high,temperature,model_a,model_b,instance_set_id,length_a,length_b
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,30,-0.13332198750686872,-0.1926450742240216,-0.21324320088131626,-0.04709661026037552,0.25,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,25,0.2727595574999065,0.26923076923076916,0.19198884791254534,0.36371733703665715,0.25,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,25,0.436750604512811,0.40043290043290036,0.36850314913898946,0.5101839884229006,0.25,grok-3-mini,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,30,-0.10446168767336166,-0.09882478632478636,-0.19181641817534448,-0.010286103833480996,0.5,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,26,0.3184152748562839,0.31978494623655906,0.21702547813087972,0.42069528779271576,0.5,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,26,0.3875000520868841,0.40917207792207794,0.3148195504754431,0.4532273557050306,0.5,grok-3-mini,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,29,-0.03879063316313239,-0.06477732793522262,-0.1418713288604885,0.06805265425895754,0.75,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,25,0.3688064791760325,0.3702737940026075,0.28017552688654995,0.4534567353437378,0.75,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,25,0.4073821944847164,0.375,0.3379082872776927,0.4863705266858106,0.75,grok-3-mini,mistral-small-creative,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.0,0.25,30,0.017639736495454007,-0.01971326164874554,-0.028795081127351612,0.0628576486443581,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.0,0.5,30,0.008615964509711674,0.0036630036630035945,-0.031854871483204907,0.04984358352823418,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.0,0.75,30,0.006491900768523369,0.033229813664596264,-0.037007902438523546,0.047822288417243,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.25,0.5,30,-0.009023771985742331,-0.007917896888485099,-0.049066099262117815,0.0306495546261199,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.25,0.75,30,-0.011147835726930637,0.004166666666666652,-0.051079211466803366,0.029682076781925318,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,gemini-3-flash-preview,150.0,0.5,0.75,30,-0.0021240637411883054,-0.011793551167365246,-0.054921146968702116,0.04538944537227279,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.0,0.25,29,-0.003324711343083986,-0.0022172949002217113,-0.04100074461407211,0.03687739299814015,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.0,0.5,29,0.008155679336464975,0.016632016632016633,-0.034900368838904544,0.053213510584026597,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.0,0.75,28,0.0030136648314597653,-0.01706694873071185,-0.04921234818994726,0.05910784700771978,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.25,0.5,29,0.01148039067954896,0.008695652173913104,-0.03071585553562287,0.05496054235252993,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.25,0.75,28,0.0063779267617888324,0.04527926095431817,-0.040527955447605374,0.054568417812251434,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,grok-3-mini,150.0,0.5,0.75,29,-0.008179781743386069,0.017671517671517756,-0.06203374665490799,0.04646817423087211,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,mistral-small-creative,150.0,0.0,0.25,24,-0.021640344143591738,-0.02422630236305051,-0.057697797191135665,0.015502106220039218,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,mistral-small-creative,150.0,0.0,0.5,24,-0.01825881969668601,0.0021917007597895832,-0.05678509536891383,0.0185836282443891,,,,,,
temperature,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,mistral-small-creative,150.0,0.25,0.5,26,0.002497867057447004,-0.0028011204481792618,-0.04181187438717905,0.04512720729728435,,,,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,29,-0.08236735968192838,-0.08116883116883111,-0.15118762667031002,-0.014173433266045738,0.0,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,24,0.2879889931116826,0.2715780461010443,0.20821263367352008,0.37081412820374715,0.0,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,23,0.3428553246894543,0.3357723577235773,0.28675186151050874,0.3946017586674809,0.0,grok-3-mini,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,29,-0.1080846366303892,-0.125,-0.16967650090368805,-0.04354371635169224,0.25,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,27,0.2742963172493688,0.21927497789566752,0.19154175892310285,0.3612833362880135,0.25,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,26,0.34202416288789117,0.31889161053276177,0.28166097834365583,0.4073790307820133,0.25,grok-3-mini,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,30,-0.05743725551032632,-0.07999079981838603,-0.14590318251678547,0.03499408753659775,0.5,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,27,0.27863446297300304,0.24517374517374513,0.17398521364575859,0.37725659824049607,0.5,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,27,0.32969560747256554,0.34736842105263166,0.2719778145691308,0.38144691185009616,0.5,grok-3-mini,mistral-small-creative,,,
model,longwiki-hybrid2,d8160d5cfb0f66dd3aee9f6cfca02bcefd00b69d92920a89eceaa835f603dd71,,150.0,,,29,-0.06021585425112709,-0.0803159973666886,-0.14194072233787777,0.03672226541714196,0.75,gemini-3-flash-preview,grok-3-mini,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.0,0.25,294,-0.0029353807763900465,0.0,-0.018454783222726392,0.012231740806911438,,,,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.0,0.5,296,-0.0031203432433183306,0.0021008403361344463,-0.020156712180451678,0.013648587669895922,,,,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.0,0.75,297,0.0059219486485164044,0.005555555555555536,-0.009621005814891321,0.021646798416297137,,,,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.25,0.5,293,-0.0006170346311776323,0.006666666666666599,-0.018017832844904234,0.016825204421254892,,,,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.25,0.75,293,0.00857228849835274,0.018181818181818188,-0.00958940271940107,0.025299009611078914,,,,,,
temperature,longwiki-hybrid300,22013e7733baae0399004b01e3a2c400940f008795831deaa0ee3247013d754b,grok-3-mini,50.0,0.5,0.75,295,0.009050645249598638,0.0,-0.007995649295628463,0.02730753553500547,,,,,,
temperature,longwiki-hybrid300,36572e6c238cef6c4cbc47046886a56c7ee664b31dc0a796c80e1be6bfc98e36,grok-3-mini,150.0,0.0,0.25,295,-0.005413813799616212,0.0,-0.020482277871863047,0.010062258906065224,,,,,,
temperature,longwiki-hybrid300,36572e6c238cef6c4cbc47046886a56c7ee664b31dc0a796c80e1be6bfc98e36,grok-3-mini,150.0,0.0,0.5,292,-0.012588586815356465,-0.018395414047587988,-0.027390970389587103,0.0015544344987294659,,,,,,
temperature,longwiki-hybrid300,36572e6c238cef6c4cbc47046886a56c7ee664b31dc0a796c80e1be6bfc98e36,grok-3-mini,150.0,0.25,0.5,290,-0.006909398579874698,-0.001831501831501825,-0.020650304185546232,0.006587257987690541,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.0,0.25,294,0.0016454192078647777,0.009657027853205602,-0.011689696411759671,0.014660466629796056,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.0,0.5,292,0.013134520311119068,0.01772359584859584,-0.00020616064002893699,0.026362363375477038,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.0,0.75,294,0.006635250756144756,0.0005630630630630296,-0.006701580255985158,0.020770061898523613,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.25,0.5,291,0.012568455041896031,0.0,-0.0013084787797281827,0.026756148468978648,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.25,0.75,292,0.006184762969063889,0.0034810694577397383,-0.008328134577825103,0.02060001144355441,,,,,,
temperature,longwiki-hybrid300,644d5c465960faa35f1652f402ca824ed0878ec3ff6667b4c47eb00cfcf8dde5,grok-3-mini,300.0,0.5,0.75,292,-0.0064538226319870206,-0.0029566947295582846,-0.020526389618699206,0.008850442519567167,,,,,,
length,longwiki-hybrid2,,gemini-3-flash-preview,,,,30,0.04477459157457174,0.08809523809523812,-0.01659799059379678,0.10413262740686646,0.0,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,gemini-3-flash-preview,,,,30,0.02365858056670349,0.043168301232817285,-0.034243102023549944,0.07439060565125862,0.25,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,gemini-3-flash-preview,,,,30,0.020549163157751158,0.0411036036036036,-0.03386400078608959,0.07055136474960984,0.5,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,gemini-3-flash-preview,,,,29,0.06733645523374479,0.06060606060606055,-0.0007197572604435926,0.13119794021402645,0.75,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,grok-3-mini,,,,29,0.05164612761059622,0.05797101449275355,0.0003311346610250736,0.09702301415980676,0.0,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
